ID,FG_PCT_HOME,FG3_PCT_HOME,FT_PCT_HOME,OREB_HOME,DREB_HOME,REB_HOME,AST_HOME,STL_HOME,BLK_HOME,TOV_HOME,PF_HOME,PLUS_MINUS_HOME,FG_PCT_AWAY,FG3_PCT_AWAY,FT_PCT_AWAY,OREB_AWAY,DREB_AWAY,REB_AWAY,AST_AWAY,STL_AWAY,BLK_AWAY,TOV_AWAY,PF_AWAY,PLUS_MINUS_AWAY,WL_HOME
21298,0.446,0.0,0.5,16,28,44,25,8,5,16,23.0,-9,0.513,0.0,0.769,11,29,40,21,11,7,17,19.0,9,L
21299,0.396,0.0,0.635,18,29,47,17,3,7,28,37.0,-14,0.477,0.333,0.791,13,31,44,26,11,3,22,40.0,14,L
21300,0.443,0.0,0.816,17,40,57,23,11,0,22,32.0,2,0.477,0.4,0.667,13,28,41,27,10,7,20,32.0,-2,W
21301,0.443,0.0,0.634,20,28,48,17,5,2,20,34.0,-4,0.488,,0.75,11,31,42,19,7,7,18,32.0,4,L
21302,0.512,0.0,0.632,10,24,34,30,10,9,16,27.0,-4,0.494,,0.706,17,30,47,23,10,7,19,28.0,4,L
21303,0.453,0.25,0.707,21,32,53,29,8,8,20,33.0,1,0.484,0.667,0.719,16,31,47,24,8,8,20,34.0,-1,W
21304,0.436,0.0,0.806,19,33,52,17,14,3,24,30.0,4,0.476,0.286,0.844,9,34,43,27,14,5,28,27.0,-4,W
21305,0.427,0.0,0.895,23,31,54,28,17,9,21,33.0,5,0.461,0.2,0.643,22,32,54,32,13,7,27,37.0,-5,W
21306,0.46,0.667,0.867,17,29,46,18,6,11,20,33.0,3,0.462,0.0,0.739,23,24,47,21,9,7,20,32.0,-3,W
21307,0.518,0.4,0.9,12,30,42,28,11,3,22,40.0,26,0.386,0.0,0.712,12,24,36,14,9,7,27,34.0,-26,W
21308,0.438,0.429,0.576,13,27,40,20,4,7,11,32.0,-5,0.419,0.0,0.733,21,33,54,22,3,2,14,24.0,5,L
21309,0.595,,0.912,6,42,48,27,8,4,27,27.0,27,0.392,0.0,0.667,9,23,32,19,10,0,19,28.0,-27,W
21310,0.495,0.0,0.677,16,21,37,27,17,8,13,22.0,11,0.542,0.0,0.733,13,37,50,14,9,8,26,26.0,-11,W
21311,0.41,0.0,0.805,11,31,42,18,6,4,15,17.0,6,0.477,0.4,0.818,7,31,38,30,7,5,18,34.0,-6,W
21312,0.463,0.0,0.615,16,35,51,32,18,5,20,33.0,-5,0.495,0.167,0.815,15,38,53,30,8,5,22,28.0,5,L
21313,0.471,0.0,0.723,14,36,50,21,12,4,19,32.0,1,0.459,0.0,0.708,24,34,58,36,7,3,21,34.0,-1,W
21314,0.391,0.333,0.64,10,19,29,19,12,5,13,28.0,-10,0.407,0.0,0.846,22,37,59,20,9,6,23,26.0,10,L
21315,0.528,1.0,0.87,15,26,41,34,14,6,26,29.0,17,0.434,0.333,0.788,18,23,41,24,11,6,29,31.0,-17,W
21316,0.43,0.333,0.711,24,36,60,21,9,7,12,25.0,15,0.369,0.0,0.694,19,25,44,15,8,3,12,26.0,-15,W
21317,0.449,0.667,0.75,13,38,51,23,3,3,21,25.0,-6,0.489,0.0,0.808,13,33,46,24,6,5,14,27.0,6,L
21318,0.483,0.667,0.679,14,36,50,25,7,4,15,34.0,17,0.408,0.2,0.743,18,41,59,22,6,4,20,39.0,-17,W
21319,0.524,,0.833,14,30,44,26,9,6,23,20.0,12,0.448,0.5,0.75,12,20,32,21,16,5,20,24.0,-12,W
21320,0.518,0.0,0.684,14,30,44,30,13,6,39,41.0,-15,0.454,0.25,0.796,24,27,51,26,20,7,30,39.0,15,L
21321,0.379,0.375,0.724,12,26,38,22,10,4,10,27.0,-7,0.494,0.0,0.633,8,34,42,24,3,7,16,21.0,7,L
21322,0.483,0.0,0.776,24,33,57,26,10,6,18,31.0,12,0.478,,0.65,12,25,37,27,7,8,18,33.0,-12,W
21323,0.505,0.0,0.75,15,26,41,35,7,4,14,23.0,6,0.485,0.167,0.667,18,28,46,33,9,4,18,27.0,-6,W
21324,0.434,0.25,0.8,11,20,31,29,8,2,12,20.0,-18,0.574,0.333,0.833,16,44,60,35,6,3,19,32.0,18,L
21325,0.593,0.5,0.7,9,22,31,32,8,5,18,29.0,2,0.495,0.2,0.667,20,29,49,26,10,4,18,20.0,-2,W
21326,0.5,0.0,0.805,15,33,48,27,8,9,22,30.0,11,0.435,0.286,0.727,15,24,39,21,13,3,20,33.0,-11,W
21327,0.432,,0.78,12,28,40,20,16,5,17,23.0,2,0.494,0.0,0.75,10,35,45,28,8,9,26,31.0,-2,W
21328,0.455,0.0,0.804,18,47,65,27,14,6,20,36.0,9,0.44,0.0,0.84,19,39,58,24,9,6,22,35.0,-9,W
21329,0.472,0.0,0.732,18,30,48,33,8,7,12,31.0,7,0.473,0.0,0.75,20,41,61,34,6,4,19,36.0,-7,W
21330,0.532,0.333,0.643,16,30,46,22,8,3,15,21.0,7,0.441,0.5,0.618,26,25,51,22,7,6,15,30.0,-7,W
21331,0.44,0.308,0.719,13,23,36,17,9,9,16,24.0,-7,0.478,,0.897,13,35,48,28,9,4,22,30.0,7,L
21332,0.411,0.0,0.594,17,24,41,24,16,6,27,37.0,-37,0.591,0.0,0.739,14,36,50,42,12,6,25,30.0,37,L
21333,0.505,,0.667,18,40,58,36,6,2,22,25.0,6,0.448,0.0,0.846,17,34,51,23,8,2,17,32.0,-6,W
21334,0.427,0.4,0.857,13,28,41,19,11,4,22,28.0,17,0.397,0.0,0.633,12,30,42,13,5,5,28,27.0,-17,W
21335,0.506,,0.829,17,37,54,26,7,8,20,23.0,8,0.454,0.0,0.857,17,23,40,22,10,9,14,28.0,-8,W
21336,0.474,0.2,0.872,10,31,41,24,5,7,23,23.0,4,0.456,0.167,0.667,14,25,39,22,12,2,14,35.0,-4,W
21337,0.444,0.0,0.818,22,35,57,24,7,5,14,22.0,8,0.449,0.25,0.867,13,29,42,27,9,14,16,38.0,-8,W
21338,0.511,,0.614,14,31,45,30,17,7,22,32.0,11,0.481,0.0,0.727,10,35,45,21,11,5,29,36.0,-11,W
21339,0.515,0.0,0.593,18,31,49,31,12,6,23,34.0,9,0.469,0.0,0.738,15,31,46,20,9,5,22,25.0,-9,W
21340,0.523,,0.64,13,32,45,28,15,6,21,20.0,4,0.484,0.0,0.609,14,27,41,23,13,6,23,20.0,-4,W
21341,0.558,0.667,0.667,9,25,34,25,6,9,15,28.0,-4,0.583,0.333,0.741,9,27,36,25,4,3,15,24.0,4,L
21342,0.341,0.0,0.63,14,30,44,15,6,6,14,16.0,-15,0.494,0.0,0.667,7,42,49,24,8,8,14,21.0,15,L
21343,0.512,0.0,0.833,13,29,42,30,11,6,19,27.0,18,0.417,0.25,0.853,15,25,40,18,4,3,22,30.0,-18,W
21344,0.5,0.6,0.48,21,34,55,29,5,3,16,14.0,13,0.402,0.125,0.786,20,22,42,24,9,4,12,16.0,-13,W
21345,0.531,0.5,0.702,20,39,59,31,8,7,22,28.0,23,0.398,1.0,0.75,17,28,45,27,10,5,18,32.0,-23,W
21346,0.44,0.5,0.797,26,32,58,26,10,3,23,33.0,20,0.488,0.0,0.75,9,32,41,25,7,7,30,41.0,-20,W
21347,0.49,0.167,0.842,21,26,47,28,6,2,16,30.0,-11,0.547,,0.872,14,29,43,32,8,2,11,26.0,11,L
21348,0.493,,0.881,16,32,48,19,11,7,29,23.0,8,0.409,0.2,0.72,16,15,31,21,13,1,13,30.0,-8,W
21349,0.473,0.167,0.889,13,30,43,25,6,5,16,17.0,6,0.51,0.2,0.615,13,28,41,39,8,4,14,29.0,-6,W
21350,0.512,,0.703,13,37,50,25,5,8,22,31.0,1,0.431,0.5,0.767,19,29,48,22,7,2,16,33.0,-1,W
21351,0.542,0.333,0.667,13,23,36,29,7,1,24,26.0,14,0.526,0.5,0.667,12,18,30,20,11,3,19,40.0,-14,W
21352,0.433,1.0,0.738,16,31,47,25,7,7,20,32.0,-10,0.5,0.0,0.757,13,31,44,26,10,7,15,34.0,10,L
21353,0.422,0.5,0.75,16,27,43,26,3,5,15,25.0,-18,0.567,0.5,0.684,13,35,48,28,9,8,14,27.0,18,L
21354,0.42,,0.743,16,31,47,19,7,4,23,28.0,4,0.448,,0.625,11,17,28,15,8,5,14,29.0,-4,W
21355,0.505,0.25,0.737,18,36,54,31,8,6,16,26.0,14,0.489,0.667,0.694,11,29,40,24,9,7,15,27.0,-14,W
21356,0.543,0.333,0.71,11,35,46,36,12,5,27,29.0,29,0.389,0.167,0.71,16,32,48,20,14,3,33,30.0,-29,W
21357,0.557,,0.833,12,35,47,31,7,10,15,23.0,19,0.394,0.5,0.759,17,28,45,22,5,2,16,18.0,-19,W
21358,0.46,0.4,0.889,19,20,39,27,11,10,24,34.0,15,0.506,0.0,0.674,20,30,50,18,17,1,30,35.0,-15,W
21359,0.56,1.0,0.692,13,25,38,35,13,6,18,24.0,6,0.549,0.5,0.758,10,26,36,23,10,1,26,22.0,-6,W
21360,0.526,,0.735,9,32,41,26,8,3,15,27.0,4,0.487,,0.758,11,29,40,25,5,2,16,30.0,-4,W
21361,0.553,0.0,0.8,14,29,43,26,10,10,25,27.0,17,0.456,0.5,0.778,19,21,40,24,8,5,26,29.0,-17,W
21362,0.423,0.0,0.7,12,25,37,19,9,3,16,18.0,-1,0.45,0.0,0.692,15,27,42,19,10,3,18,20.0,1,L
21363,0.442,0.0,0.682,14,32,46,25,12,1,27,40.0,-8,0.476,0.333,0.688,17,23,40,17,6,7,21,36.0,8,L
21364,0.506,1.0,0.774,9,35,44,30,9,2,17,29.0,-2,0.467,0.5,0.667,17,33,50,18,7,5,16,27.0,2,L
21365,0.433,0.0,0.84,15,34,49,27,11,8,13,21.0,8,0.466,0.25,0.609,14,41,55,23,7,7,24,23.0,-8,W
21366,0.459,0.5,0.5,14,32,46,23,7,5,24,22.0,-4,0.437,0.333,0.737,14,32,46,22,15,3,19,23.0,4,L
21367,0.584,0.5,0.692,13,38,51,34,9,4,14,23.0,22,0.475,0.4,0.731,15,25,40,21,8,3,16,20.0,-22,W
21368,0.412,0.333,0.793,15,27,42,21,11,3,25,23.0,-1,0.488,0.667,0.682,12,31,43,14,11,8,26,30.0,1,L
21369,0.452,0.0,0.789,11,26,37,23,12,7,14,33.0,-10,0.527,0.222,0.735,10,32,42,24,5,6,21,31.0,10,L
21370,0.51,0.0,0.794,20,33,53,30,14,9,17,28.0,32,0.327,0.333,0.667,28,32,60,17,9,1,21,22.0,-32,W
21371,0.449,0.0,0.788,12,39,51,20,10,7,11,26.0,9,0.367,0.5,0.69,22,32,54,16,6,3,20,28.0,-9,W
21372,0.552,0.333,0.769,9,48,57,44,10,8,23,21.0,29,0.367,0.2,0.783,17,29,46,28,12,5,17,20.0,-29,W
21373,0.454,0.4,0.694,18,29,47,33,15,7,19,25.0,24,0.443,0.0,0.657,15,38,53,24,11,3,36,32.0,-24,W
21374,0.538,0.25,0.775,17,30,47,27,11,5,12,26.0,11,0.528,0.0,0.758,14,24,38,25,6,4,18,29.0,-11,W
21375,0.463,0.2,0.656,18,33,51,29,9,6,25,24.0,-7,0.538,1.0,0.696,11,28,39,31,11,7,21,26.0,7,L
21376,0.514,0.0,0.741,6,26,32,24,11,4,23,25.0,4,0.423,0.333,0.84,16,25,41,21,11,4,23,29.0,-4,W
21377,0.398,0.4,0.767,22,22,44,23,13,1,18,24.0,-12,0.519,0.0,0.885,16,30,46,35,13,4,19,28.0,12,L
21378,0.512,0.0,0.75,11,24,35,31,10,4,14,27.0,-3,0.479,0.333,0.839,13,27,40,18,6,6,19,15.0,3,L
21379,0.385,0.0,0.775,12,26,38,26,7,1,15,32.0,-19,0.556,0.5,0.762,8,44,52,32,3,8,22,30.0,19,L
21380,0.437,0.0,0.8,13,27,40,20,3,3,21,30.0,5,0.411,,0.786,9,25,34,17,12,5,18,40.0,-5,W
21381,0.5,,0.814,8,40,48,32,9,8,19,22.0,7,0.469,0.444,0.741,13,36,49,23,10,4,19,33.0,-7,W
21382,0.537,1.0,0.697,12,43,55,33,14,6,17,34.0,22,0.416,0.0,0.738,11,36,47,22,10,3,22,30.0,-22,W
21383,0.341,0.0,0.829,22,29,51,14,8,10,16,25.0,-3,0.44,0.0,0.586,23,32,55,26,5,6,22,31.0,3,L
21384,0.578,0.5,0.725,13,33,46,22,7,11,30,36.0,3,0.472,0.286,0.881,10,22,32,16,13,4,18,32.0,-3,W
21385,0.435,0.167,0.725,22,22,44,23,17,3,19,26.0,-5,0.576,0.5,0.64,15,28,43,29,11,7,25,33.0,5,L
21386,0.561,0.5,0.719,8,29,37,29,7,3,16,26.0,6,0.478,0.25,0.786,18,28,46,23,10,1,19,30.0,-6,W
21387,0.447,0.667,0.744,12,26,38,22,9,4,9,25.0,3,0.507,0.6,0.848,14,30,44,22,3,7,22,37.0,-3,W
21388,0.438,0.0,0.73,19,30,49,28,16,5,23,21.0,8,0.407,0.286,0.808,22,30,52,23,8,2,29,33.0,-8,W
21389,0.5,0.0,0.796,13,25,38,23,12,6,22,28.0,7,0.506,0.0,0.72,15,24,39,22,6,3,26,33.0,-7,W
21390,0.5,0.5,0.837,14,21,35,22,5,5,17,27.0,9,0.605,0.0,0.667,4,21,25,36,6,3,19,32.0,-9,W
21391,0.559,0.0,0.722,16,29,45,33,9,7,16,24.0,12,0.483,0.0,0.853,15,24,39,24,8,3,16,22.0,-12,W
21392,0.466,0.5,0.69,14,25,39,27,13,4,17,30.0,10,0.453,0.0,0.735,14,30,44,22,7,5,28,30.0,-10,W
21393,0.464,0.0,0.795,15,35,50,23,6,9,18,30.0,19,0.347,0.167,0.621,22,28,50,23,5,1,15,26.0,-19,W
21394,0.42,0.2,0.778,19,27,46,24,2,6,18,27.0,-29,0.536,0.333,0.844,15,29,44,23,8,5,8,29.0,29,L
21395,0.454,0.0,0.75,19,31,50,29,6,6,15,25.0,8,0.469,0.2,0.73,20,28,48,23,6,8,18,37.0,-8,W
21396,0.478,,0.769,23,25,48,33,11,9,14,33.0,11,0.484,0.5,0.765,20,30,50,29,7,5,20,31.0,-11,W
21397,0.486,0.5,0.778,17,38,55,29,9,6,15,31.0,2,0.444,0.0,0.743,21,35,56,26,7,4,17,30.0,-2,W
21398,0.544,1.0,0.656,13,31,44,28,10,5,23,24.0,7,0.446,0.6,0.696,20,26,46,17,6,4,24,26.0,-7,W
21399,0.451,0.0,0.867,11,38,49,28,10,3,17,24.0,4,0.485,0.0,0.87,9,36,45,24,10,4,20,29.0,-4,W
21400,0.566,0.25,0.727,15,36,51,35,14,8,16,25.0,19,0.44,1.0,0.784,14,24,38,26,11,3,18,26.0,-19,W
21401,0.396,0.0,0.649,26,31,57,19,6,5,24,29.0,-15,0.511,0.2,0.759,9,35,44,22,10,6,18,25.0,15,L
21402,0.507,,0.542,13,25,38,18,5,8,20,19.0,-4,0.444,,0.84,19,27,46,20,9,4,20,26.0,4,L
21403,0.472,0.5,0.735,19,29,48,26,6,9,10,20.0,4,0.517,0.5,0.706,13,27,40,34,1,4,11,25.0,-4,W
21404,0.448,0.667,0.829,13,35,48,27,10,7,16,23.0,12,0.464,0.0,0.828,7,29,36,25,10,4,17,32.0,-12,W
21405,0.457,0.25,0.75,17,38,55,23,10,6,19,20.0,5,0.462,0.0,0.55,16,37,53,26,10,2,18,23.0,-5,W
21406,0.495,0.0,0.714,14,40,54,27,3,1,15,27.0,9,0.44,0.2,0.667,13,31,44,16,4,3,10,27.0,-9,W
21407,0.478,0.667,0.846,20,29,49,23,11,12,24,24.0,3,0.494,0.0,0.781,12,26,38,28,10,5,21,21.0,-3,W
21408,0.464,0.0,0.56,14,37,51,26,10,2,12,22.0,-8,0.5,0.167,0.75,8,37,45,29,9,8,15,24.0,8,L
21409,0.52,0.5,0.591,14,30,44,34,10,8,12,18.0,4,0.474,0.444,0.75,16,35,51,27,5,5,12,23.0,-4,W
21410,0.512,0.0,0.81,12,28,40,22,10,6,17,24.0,4,0.478,0.167,0.935,17,30,47,27,10,1,24,29.0,-4,W
21411,0.543,,0.705,18,30,48,32,11,14,19,22.0,15,0.516,0.25,0.826,10,28,38,25,10,5,19,31.0,-15,W
21412,0.485,1.0,0.852,22,24,46,32,12,3,11,24.0,15,0.482,0.333,0.778,18,23,41,26,4,3,22,23.0,-15,W
21413,0.568,0.5,0.653,9,44,53,33,9,5,18,23.0,18,0.414,0.583,0.556,14,25,39,25,6,5,16,33.0,-18,W
21414,0.517,0.333,0.905,13,32,45,34,6,4,17,21.0,12,0.438,0.0,0.833,15,30,45,22,3,1,14,23.0,-12,W
21415,0.381,0.0,0.733,11,26,37,22,6,7,18,24.0,-31,0.554,0.167,0.706,13,40,53,40,8,4,20,24.0,31,L
21416,0.467,0.4,0.865,13,38,51,22,10,7,13,21.0,13,0.467,0.2,0.692,14,37,51,24,4,6,17,28.0,-13,W
21417,0.461,0.5,0.606,18,37,55,22,4,4,18,29.0,7,0.446,0.4,0.737,8,31,39,19,9,8,17,31.0,-7,W
21418,0.539,1.0,0.828,19,33,52,27,5,7,17,27.0,5,0.527,0.286,0.655,8,21,29,34,2,1,12,24.0,-5,W
21419,0.44,0.0,0.815,12,33,45,27,10,4,18,29.0,-4,0.474,,0.788,12,30,42,22,10,8,19,23.0,4,L
21420,0.477,0.0,0.9,13,29,42,32,8,4,14,22.0,4,0.505,1.0,0.696,16,33,49,19,8,9,21,17.0,-4,W
21421,0.49,,0.684,20,27,47,32,9,3,12,21.0,2,0.549,0.667,0.85,10,30,40,31,6,3,18,21.0,-2,W
21422,0.494,0.25,0.84,12,27,39,29,3,2,18,37.0,-4,0.506,0.0,0.815,10,28,38,19,9,6,14,39.0,4,L
21423,0.435,0.0,0.68,12,35,47,25,10,6,18,26.0,2,0.371,0.6,0.867,14,38,52,19,10,4,19,29.0,-2,W
21424,0.557,0.333,0.792,11,36,47,20,5,8,16,27.0,21,0.419,0.286,0.719,11,25,36,20,7,4,15,20.0,-21,W
21425,0.6,0.571,0.813,16,25,41,38,11,6,22,31.0,19,0.516,0.333,0.727,15,20,35,28,13,3,22,27.0,-19,W
21426,0.439,0.143,0.795,12,25,37,19,10,3,17,29.0,-13,0.511,0.6,0.8,16,28,44,27,10,5,21,31.0,13,L
21427,0.514,,0.6,9,32,41,21,7,4,17,29.0,4,0.391,0.4,0.714,21,28,49,19,6,9,15,33.0,-4,W
21428,0.539,1.0,0.92,13,33,46,31,3,5,10,29.0,7,0.473,0.0,0.743,12,26,38,26,5,6,10,22.0,-7,W
21429,0.479,0.5,0.861,6,26,32,21,9,6,25,28.0,-6,0.489,0.667,0.769,16,25,41,32,11,3,24,30.0,6,L
21430,0.494,0.0,0.727,18,31,49,24,11,8,24,19.0,-6,0.522,0.0,0.778,14,23,37,31,15,8,18,25.0,6,L
21431,0.451,0.25,0.828,13,23,36,29,10,2,17,28.0,-4,0.5,0.5,0.722,12,27,39,26,6,7,23,28.0,4,L
21432,0.461,0.25,0.842,17,35,52,24,9,6,11,27.0,14,0.422,0.4,0.781,18,35,53,14,7,6,18,28.0,-14,W
21433,0.518,0.0,0.787,12,26,38,17,9,3,14,19.0,4,0.505,0.167,0.759,20,28,48,35,6,3,14,35.0,-4,W
21434,0.535,0.2,0.6,18,30,48,39,10,6,18,23.0,15,0.479,,0.607,16,30,46,26,13,8,18,23.0,-15,W
21435,0.475,,0.733,20,30,50,25,12,4,12,26.0,15,0.446,0.0,0.731,17,32,49,17,5,3,22,30.0,-15,W
21436,0.56,,0.833,9,30,39,23,6,6,15,21.0,11,0.443,,0.8,16,24,40,20,10,3,18,27.0,-11,W
21437,0.456,0.0,0.864,15,36,51,23,7,8,21,26.0,3,0.425,0.333,0.885,9,24,33,22,9,5,16,22.0,-3,W
21438,0.417,0.375,0.639,20,18,38,26,6,2,13,26.0,-10,0.494,0.333,0.844,18,33,51,32,4,2,18,29.0,10,L
21439,0.567,0.0,0.828,11,37,48,39,10,15,20,23.0,29,0.41,0.0,0.714,16,25,41,21,9,0,19,23.0,-29,W
21440,0.538,0.0,0.804,11,31,42,30,8,4,19,30.0,21,0.43,0.0,0.703,15,25,40,28,7,2,17,31.0,-21,W
21441,0.443,0.25,0.824,16,38,54,24,8,5,16,20.0,9,0.479,0.0,0.727,10,39,49,27,10,6,15,27.0,-9,W
21442,0.529,,0.794,15,28,43,31,11,9,18,24.0,4,0.512,1.0,0.742,14,23,37,27,7,2,16,24.0,-4,W
21443,0.457,1.0,0.636,11,30,41,24,5,9,23,22.0,-34,0.6,0.5,0.762,8,33,41,37,10,8,15,26.0,34,L
21444,0.49,0.143,0.71,12,20,32,23,11,5,10,19.0,1,0.546,0.25,0.813,16,35,51,33,2,7,28,27.0,-1,W
21445,0.575,,0.686,8,27,35,29,8,7,20,26.0,-4,0.484,1.0,0.7,22,25,47,25,11,3,16,23.0,4,L
21446,0.441,0.0,0.944,20,44,64,33,10,2,16,19.0,19,0.396,0.4,0.667,13,37,50,16,6,8,18,14.0,-19,W
21447,0.43,,0.718,24,28,52,15,10,8,16,26.0,8,0.429,0.0,0.759,18,24,42,11,7,8,19,25.0,-8,W
21448,0.563,0.25,0.912,9,26,35,33,12,5,28,32.0,19,0.43,0.333,0.757,16,20,36,29,8,4,27,28.0,-19,W
21449,0.5,0.0,0.625,15,32,47,28,5,2,25,26.0,-8,0.519,0.0,0.8,10,22,32,27,13,6,16,27.0,8,L
21450,0.474,0.0,0.742,16,27,43,30,6,7,17,29.0,-8,0.529,0.0,0.806,11,31,42,30,9,9,16,25.0,8,L
21451,0.484,0.0,0.741,21,30,51,31,15,11,20,20.0,12,0.467,0.0,0.8,15,25,40,20,13,4,23,27.0,-12,W
21452,0.489,0.0,0.759,20,28,48,29,6,6,19,22.0,7,0.471,0.25,0.815,13,19,32,22,8,2,18,24.0,-7,W
21453,0.5,0.0,0.737,11,28,39,26,11,5,18,28.0,-10,0.542,,0.897,9,35,44,24,12,5,18,16.0,10,L
21454,0.529,1.0,0.765,10,18,28,28,4,3,13,25.0,-9,0.5,0.0,0.771,18,28,46,27,7,4,15,21.0,9,L
21455,0.667,0.5,0.636,14,34,48,27,8,2,22,25.0,27,0.474,0.2,0.81,14,19,33,14,12,5,13,19.0,-27,W
21456,0.457,0.0,0.744,16,25,41,17,11,1,14,29.0,-17,0.576,0.5,0.66,12,34,46,30,6,3,14,30.0,17,L
21457,0.453,0.0,0.818,21,32,53,25,7,8,16,23.0,4,0.485,0.0,0.815,15,31,46,21,6,6,15,32.0,-4,W
21458,0.45,0.0,0.83,23,33,56,22,10,6,27,27.0,4,0.489,0.5,0.724,12,24,36,27,12,6,20,40.0,-4,W
21459,0.473,0.4,0.853,12,32,44,29,8,2,12,23.0,13,0.513,0.0,0.686,7,32,39,31,4,7,18,28.0,-13,W
21460,0.547,0.0,0.821,12,24,36,29,6,6,20,20.0,-5,0.567,0.0,0.944,14,18,32,36,10,0,16,30.0,5,L
21461,0.5,0.2,0.862,18,30,48,27,6,7,14,20.0,16,0.522,0.0,0.571,8,21,29,35,8,1,16,27.0,-16,W
21462,0.578,0.0,0.704,9,31,40,30,8,4,19,18.0,9,0.519,0.0,0.889,7,20,27,14,9,2,16,26.0,-9,W
21463,0.505,,0.706,21,30,51,35,13,8,18,19.0,26,0.393,0.25,0.889,11,24,35,23,6,7,19,21.0,-26,W
21464,0.532,,0.827,7,30,37,20,10,1,18,28.0,7,0.516,0.25,0.639,16,27,43,19,7,6,18,36.0,-7,W
21465,0.443,0.0,0.588,19,30,49,20,7,3,11,20.0,8,0.457,0.0,0.696,14,27,41,24,8,5,16,30.0,-8,W
21466,0.333,0.2,0.723,19,18,37,22,11,5,16,24.0,-15,0.649,1.0,0.68,12,37,49,31,6,9,31,32.0,15,L
21467,0.517,0.2,0.818,7,35,42,40,7,5,25,38.0,-2,0.49,0.286,0.792,12,29,41,26,13,9,17,43.0,2,L
21468,0.554,0.0,0.692,12,29,41,29,8,5,22,25.0,-1,0.494,,0.8,8,26,34,24,10,5,17,18.0,1,L
21469,0.532,0.0,0.846,16,27,43,23,3,5,20,30.0,10,0.513,0.5,0.56,12,21,33,19,6,4,17,29.0,-10,W
21470,0.466,0.5,0.762,15,38,53,34,13,9,17,15.0,15,0.474,0.0,0.667,16,33,49,28,8,11,24,24.0,-15,W
21471,0.629,0.0,0.864,8,37,45,36,12,6,18,25.0,32,0.429,0.333,0.743,11,22,33,23,9,1,18,20.0,-32,W
21472,0.557,,0.815,19,39,58,35,6,9,23,25.0,22,0.412,0.4,0.688,21,19,40,27,11,5,17,22.0,-22,W
21473,0.506,0.5,0.769,13,27,40,29,6,6,16,26.0,4,0.522,0.0,0.722,10,23,33,25,8,3,13,26.0,-4,W
21474,0.478,0.75,0.795,13,27,40,23,8,3,21,26.0,-5,0.527,0.333,0.829,17,33,50,19,11,6,23,32.0,5,L
21475,0.595,0.333,0.63,11,32,43,28,4,3,16,19.0,13,0.512,0.167,0.706,12,26,38,32,5,3,13,20.0,-13,W
21476,0.448,0.2,0.632,14,23,37,24,13,4,15,16.0,-7,0.543,0.0,0.909,13,35,48,25,7,5,24,22.0,7,L
21477,0.529,0.0,0.87,14,29,43,26,7,6,15,23.0,8,0.521,0.0,0.889,10,24,34,24,7,3,14,32.0,-8,W
21478,0.438,0.0,0.8,17,34,51,22,10,2,17,16.0,2,0.454,0.0,0.737,19,29,48,27,9,5,18,20.0,-2,W
21479,0.5,0.333,0.593,11,28,39,29,12,5,30,38.0,-17,0.457,0.0,0.766,12,22,34,25,9,4,19,24.0,17,L
21480,0.588,1.0,0.667,9,30,39,34,12,6,22,20.0,18,0.435,0.25,0.645,12,21,33,22,10,3,17,24.0,-18,W
21481,0.433,,0.839,14,37,51,23,10,7,24,28.0,7,0.419,0.222,0.607,13,32,45,25,10,9,19,28.0,-7,W
21482,0.525,,0.811,8,33,41,29,10,12,18,17.0,18,0.427,0.273,0.81,14,29,43,16,8,6,25,31.0,-18,W
21483,0.395,0.667,0.833,12,34,46,19,8,6,23,20.0,-3,0.418,0.0,0.737,8,33,41,17,8,5,16,21.0,3,L
21484,0.427,0.0,0.828,22,27,49,35,15,6,15,32.0,-7,0.516,0.5,0.813,16,38,54,27,10,12,26,27.0,7,L
21485,0.506,0.5,0.607,11,28,39,19,6,4,21,26.0,-11,0.468,0.0,0.821,16,30,46,22,13,2,15,22.0,11,L
21486,0.524,1.0,0.769,13,30,43,33,10,1,19,20.0,1,0.506,0.333,0.773,8,29,37,25,14,3,11,22.0,-1,W
21487,0.41,0.0,0.867,15,37,52,23,11,13,18,19.0,6,0.402,0.0,0.737,12,29,41,16,4,4,14,24.0,-6,W
21488,0.44,0.0,0.838,15,38,53,25,8,4,21,31.0,9,0.383,0.333,0.765,14,30,44,20,8,12,14,28.0,-9,W
21489,0.588,1.0,0.738,11,30,41,32,7,10,15,24.0,16,0.429,0.333,0.828,24,22,46,20,8,8,18,31.0,-16,W
21490,0.547,0.0,0.757,12,32,44,26,9,8,16,20.0,15,0.468,,0.704,18,29,47,27,9,6,20,27.0,-15,W
21491,0.547,0.0,0.625,7,27,34,31,18,12,21,28.0,-15,0.591,0.0,0.758,9,35,44,33,11,10,26,25.0,15,L
21492,0.633,,0.833,10,43,53,38,11,8,20,24.0,28,0.382,0.143,0.778,22,21,43,29,10,4,18,20.0,-28,W
21493,0.5,0.0,0.756,13,31,44,20,11,9,23,27.0,10,0.47,,0.76,14,20,34,15,7,3,21,30.0,-10,W
21494,0.584,0.25,0.824,11,33,44,41,8,6,18,24.0,22,0.464,0.0,0.84,13,25,38,30,9,5,17,29.0,-22,W
21495,0.545,0.5,0.714,12,27,39,28,7,4,19,26.0,-10,0.467,0.0,0.828,21,25,46,28,7,6,14,24.0,10,L
